t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0.0,0.0545563059331627,-0.20088677956500986,-0.05762032510336046,-0.14198846233614246,-0.031751400214826475,0.07782162916380221,0.17001228547566488,-0.11871275355166785,0.006489609871089585,0.0900086454376626,-0.06390436715255733,0.007358871990599741,0.018136177877196062,-0.1788480853701324,-0.13631299185083806,-0.12174555105063875,-0.02885071033157,0.03969161951443791,0.055492439640696,0.05177031368394161,-0.18962477929065866,-0.007884293176834629,-0.18108573530859476,-0.21215959307286744,0.21120350501717974,-0.1018833257221018,-0.08681120317691607,0.05586261631244505
0.03,0.0978919399023524,0.1632507465009668,0.15293764406381025,-0.1399407908707682,0.2097975449219001,-0.08794915340109102,0.017764745373340045,0.0009593993035124694,-0.15643426612444708,0.002369558506639408,-0.07870762719390717,-0.011343699371003041,-0.08174974343609963,-0.036213349036203615,-0.03182423644366899,0.0019948006700952073,-0.030124674404035295,-0.08748524032985855,-0.024685344921835103,0.1394474287165989,-0.012436703686253922,-0.2665923145523469,-0.10881357405025276,0.08459708050485536,-0.1376899449471345,0.10495351129865682,0.20300278900202395,-0.2622529303558666
0.06,-0.05357235345305468,0.07583455552059194,-0.100192603502372,-0.0344962709224683,0.05293523646024938,0.09207716138465558,0.15557773252472198,-0.10504749949600996,0.07463119021541577,0.1129279785189157,0.02240863204403559,0.01110376758745932,0.061090983431308074,-0.1472796230882665,0.01468875981085768,0.2281727615482229,0.11971457840849906,-0.07207545898933286,0.042198943243329116,0.020348020937540547,0.021937356890798718,0.007403976151402036,0.041342367996416864,0.02281125719933197,-0.2166909100774296,0.07632203604355225,-0.02845130136055228,-0.03757620627849621
0.09,0.21485141827008267,-0.04454158767850745,-0.10473941380084643,0.07160254128538207,0.01232190203427632,-0.0416444247608653,-0.007595058386793851,-0.1424346762734222,-0.1829548512485599,0.1677266831089024,-0.12903745656523435,0.09092148782890773,0.08060085400295282,-0.11434773249856656,-0.017349580190939694,0.0034032128021119264,-0.09291011534491696,0.027016291540613697,0.08233551874035122,0.06932942993661315,-0.19928188333942945,0.060914247655028515,-0.05483736381608061,-0.2010771668824834,0.08224416939965233,-0.07731883657299574,-0.08336727591036039,0.15332336044061612
0.12,-0.06098921063382413,-0.016081581555506225,-0.03997664807558842,0.07530955572096096,-0.0883999217498276,0.07852881137497313,-0.06600824563965617,-0.013216747279600831,-0.09313231852660432,-0.08168160053493406,0.03332209510810452,0.025417926678993067,-0.13487414297743175,0.011931666906639144,-0.06777878378198794,-0.10499202487547332,0.08195799815902505,0.11648681442101932,-0.03998672534817856,-0.00942332444355679,-0.022137222105943398,-0.03902212830153616,-0.0771039293758675,-0.10256885198527198,-0.033506321298148865,0.009044507405685038,0.0584860926008901,0.2891053517993002
0.15,-0.2816495364654524,-0.06148472955509146,-0.11560834373941098,0.06710904990910448,-0.002535714393405698,0.03787013571850688,-0.09281621870788408,-0.07891773096835457,-0.05614385669470204,0.053604393601218166,-0.014089439036014615,0.010612587817530359,-0.1548749908907077,0.02996169844629386,0.1760623175796253,0.036591726742191036,0.05037908876972681,0.18273673528796036,-0.06477795658990047,-0.08066221794351007,0.06550483129191635,-0.13160047543875786,0.03603358122935474,-0.03338291192169851,-0.061104843348876635,0.09807578707330168,0.06431933485407428,0.010022208767270566
0.18,-0.10224103894722876,0.021380323979690048,-0.01907371919912926,-0.01917576770325943,0.11735893446521015,0.050406166728297855,-0.13042866513393994,-0.02528853371536753,-0.07859817540519158,-0.06056154999363963,-0.0296275855368996,-0.010706767339930827,-0.07055563227682571,0.051057643121181176,0.06155884037143279,-0.209398396281344,0.05159353705052711,-0.08733248146760217,0.0869465129299209,-0.0732998738024651,0.172650509341556,0.032323185227541074,-0.06438113126831049,0.08567871227026064,0.04702338051432447,0.12193666434478148,-0.02697187013334326,-0.04215572872050141
0.21,-0.16102699930278722,-0.10557189753773982,-0.010749292407823123,-0.008245089119753446,-0.1917852148505887,0.16072849842876424,-0.14302906878448413,0.03867302852689957,-0.09646171481332412,0.08132395362670357,0.1339022437845248,0.2263432024801419,-0.09436402816662592,0.0928659689715265,-0.06059226294243855,0.09458922275756332,0.020080778126830626,0.010926932283914007,-0.1583434053316678,0.10864565989861147,-0.013498295368378668,-0.10491901104550276,0.03902178116210284,-0.09155699772787587,-0.12163140037979475,-0.021236634224831186,0.06289606907540628,-0.15075559788206264
0.24,-0.2466120857762231,-0.033065053932730626,0.003402494580612172,0.11738046072846038,-0.01157580474093272,-0.14917287858532027,0.17091459205053836,0.04511020303748845,0.02795687679874119,0.1660856071250119,-0.019335180571582664,-0.008261588240026081,0.0014226708734444552,0.03520608815609401,-0.2332230156756163,-0.17131869039252806,0.010506734288708035,-0.0162829752479098,0.004266838205592759,0.035894967921525044,0.03955902416772394,0.13863809140871786,0.09812087439951556,-0.0389800554324475,0.09631204339993904,-0.1452029741177284,-0.0023640095198897877,0.2330580917176565
0.27,0.10072616638218332,-0.028069348579458614,-0.08912153063272353,0.067230256066257,0.011802793937375294,-0.16487129989713903,-0.1425488509791358,0.07895925495961909,-0.05867783357429965,-0.10354425916716817,0.010368578022377109,-0.04379645402073151,0.009507849510211277,-0.055869965825432064,0.11918939289212704,-0.11417912389884388,-0.004664644855977497,0.12375121066425375,0.023889450467950345,0.06901864667596581,-0.08454043525494223,-0.0260335295869618,-0.09858505663363867,-0.016792280681953115,-0.09009697045723304,0.011905916861442666,-0.06857076346465886,0.1185861591620066
0.3,0.055803393414760594,0.1271683343618881,0.05400453671954722,0.11784677826486073,0.005897119290161614,-0.04060150469115786,-0.09298775624626077,-0.09888138783915444,0.12820380867141962,0.06648472816868661,-0.06265416507635163,-0.1447176307794848,0.12799540570909002,-0.05602411927213927,0.11380896611865768,-0.08522946772154139,0.11329998861544195,-0.0254237321060878,-0.11003216577031016,-0.028155134695997338,-0.022748435403632663,0.10329278612297588,-0.2121381015456197,0.04512786007900995,0.10695069103788628,-0.08905626792361905,-0.20511369382528355,0.0280071828028014
0.33,-0.08879337244046852,0.10318757805652448,-0.06790521268971476,-0.038812530222362966,-0.11861996350354766,-0.1335793222210598,-0.14551264978643266,-0.12262682380948516,0.02502493818600153,0.01896745465880981,0.2694695017491948,-0.12628747349704572,-0.05765277942799999,-0.04278159359899821,-0.0727551485260184,-0.014195946907023678,0.03525948854508143,0.011975934602998738,0.033209003875947794,0.04415589470700665,-0.12067115023532235,-0.09888442334862567,-0.040661039683383735,-0.019414760581597933,-0.10973163805396953,0.10383665139627987,-0.04315575049286648,0.07383246946187315
